CS,DIPLOMA_MAJOR
architecting,SKILLS
4+ years,EXPERIENCE
managing cross-functional engineering teams,SKILLS
5 + years,EXPERIENCE
full-stack software development,SKILLS
C#,SKILLS
delivering scalable and resilient services,SKILLS
data platforms,SKILLS
large-scale analytics,SKILLS
SWE lead,SKILLS
1+ years,EXPERIENCE
designing,SKILLS
Electrical Engineering,DIPLOMA_MAJOR
Computer Engineering,DIPLOMA_MAJOR
Engineering,DIPLOMA_MAJOR
industry,SKILLS
PCB design,SKILLS
integrated,SKILLS
discrete circuits,SKILLS
MS,DIPLOMA
electrical engineering,DIPLOMA_MAJOR
computer engineering,DIPLOMA_MAJOR
industry experience,SKILLS
Computing Science,DIPLOMA_MAJOR
Java stack,SKILLS
AppConnect,SKILLS
API,SKILLS
software engineering,DIPLOMA_MAJOR
coding,SKILLS
Java,SKILLS
PHP,SKILLS
BA/BS,DIPLOMA
relevant work experience),SKILLS
software engineers,SKILLS
programming,SKILLS
code,SKILLS
C,SKILLS
object-oriented programming,SKILLS
BA/BS degree,DIPLOMA
3 or more years,EXPERIENCE
engineering management,SKILLS
7 or more years,EXPERIENCE
design,SKILLS
4 or more years,EXPERIENCE
Web UX design,SKILLS
5 years,EXPERIENCE
HW engineering,DIPLOMA_MAJOR
developing and implementing tools,SKILLS
brand,SKILLS
product marketing,SKILLS
web application development,SKILLS
7+ years,EXPERIENCE
information technology,SKILLS
e-commerce,SKILLS
UX,SKILLS
UI,SKILLS
developing web-based applications,SKILLS
3+ years,EXPERIENCE
web-based application development,SKILLS
systems,SKILLS
enterprise,SKILLS
applications,SKILLS
product management,SKILLS
3+ years,EXPERIENCE
UX,SKILLS
1+ years,EXPERIENCE
requirements analysis,SKILLS
user research,SKILLS
HTML,SKILLS
CSS,SKILLS
wireframes,SKILLS
Bachelors degree,DIPLOMA
computer science,DIPLOMA_MAJOR
JavaScript,SKILLS
6+ years,EXPERIENCE
Python,SKILLS
MongoDB,SKILLS
Java,SKILLS
PostgreSQL,SKILLS
SQL,SKILLS
2+ years,EXPERIENCE
working on AWS,EXPERIENCE
microservices,EXPERIENCE
containerization,EXPERIENCE
Maven,EXPERIENCE
Bachelors,DIPLOMA
front-end development,DIPLOMA_MAJOR
interactive design,DIPLOMA_MAJOR
User Interface,DIPLOMA_MAJOR
UI/UX,DIPLOMA_MAJOR
front-end development,DIPLOMA_MAJOR
visual design,DIPLOMA_MAJOR
marketing,DIPLOMA_MAJOR
4+ years,EXPERIENCE
UI,SKILLS
visual design,SKILLS
interaction design,SKILLS
wireframes,SKILLS
UX,SKILLS
mobile,SKILLS
research,SKILLS
information architecture,SKILLS
front-end,SKILLS
collaborating,SKILLS
advertising,SKILLS
2+ years,EXPERIENCE
development,SKILLS
skills,SKILLS
architect,SKILLS
ux,SKILLS
user experience,SKILLS
java,SKILLS
javascript,SKILLS
MongoDB,SKILLS
css,SKILLS
AWS,SKILLS
HTML,SKILLS
nodejs,SKILLS
angular,SKILLS
React,SKILLS
Android,SKILLS
Backbone,SKILLS
jquery,SKILLS
CSS,SKILLS
CSS3,SKILLS
jQuery,SKILLS
A+,SKILLS
python,SKILLS
PHP,SKILLS
C,SKILLS
Spring,SKILLS
Ruby,SKILLS
C++,SKILLS
HTML5,SKILLS
test-driven development,SKILLS
6+ years,EXPERIENCE
front-end,SKILLS
web,SKILLS
4+ years,EXPERIENCE
coding,SKILLS
javascript,SKILLS
computer science,SKILLS
node.js,SKILLS
angular.js,SKILLS
5+ years,EXPERIENCE
software development,SKILLS
text mining,SKILLS
narrative text,SKILLS
time series analysis,SKILLS
predictive analytics,SKILLS
databases,SKILLS
big data,SKILLS
data visualization,SKILLS
research,SKILLS
1+ year(s),EXPERIENCE
Economics,DIPLOMA
Finance,DIPLOMA
Statistics,DIPLOMA
Computer Science,DIPLOMA
React Native,EXPERIENCE
Angular,EXPERIENCE
web development,EXPERIENCE
Design,EXPERIENCE
3+ years,EXPERIENCE
mobile development,EXPERIENCE
training,SKILLS
technical documentation,SKILLS
2+ years,EXPERIENCE
professional training,SKILLS
mobile apps,SKILLS
performance tuning,SKILLS
Google Cloud,SKILS
Android SDK,SKILLS
Android Studio,SKILLS
Android,SKILLS
mobile apps,SKILLS
product management,SKILLS
skills,SKILLS
agile development,SKILLS
Web3 Engineering,DIPLOMA_MAJOR
Chemical Engineering,DIPLOMA_MAJOR
api development, SKILLS
MLOps pipeline, SKILLS
Teaching and assistance, SKILLS
Archeology, DIPLOMA_MAJOR
